loss,params,iteration,train_time
6.515843071644429,"{'bagging_temperature': 50.69838241710431, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.1015222033446502, 'loss_function': 'MAE', 'max_depth': 9.0, 'random_seed': 42, 'random_strength': 6.005082611476783, 'task_type': 'GPU'}",42,2.5621946334838865
6.129768636718503,"{'bagging_temperature': 20.859388073045718, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.07822997354517301, 'loss_function': 'MAE', 'max_depth': 9.0, 'random_seed': 42, 'random_strength': 58.229569846315, 'task_type': 'GPU'}",43,17.773274966080983
6.5158435844956015,"{'bagging_temperature': 58.34767496278729, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.11532712954702778, 'loss_function': 'MAE', 'max_depth': 9.0, 'random_seed': 42, 'random_strength': 26.560417898937747, 'task_type': 'GPU'}",44,2.558840835094452
6.515878018788522,"{'bagging_temperature': 42.97013688805621, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.1794189002976026, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 48.61188652173619, 'task_type': 'GPU'}",45,2.5681396166483563
6.107839486961272,"{'bagging_temperature': 27.902983544754633, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.1500292256607009, 'loss_function': 'MAE', 'max_depth': 8.0, 'random_seed': 42, 'random_strength': 76.35848357700993, 'task_type': 'GPU'}",46,16.084516008694965
6.151875013187602,"{'bagging_temperature': 5.024939916808712, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.03987036212524065, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 90.78580254390604, 'task_type': 'GPU'}",47,19.46490968465805
6.59355650857956,"{'bagging_temperature': 65.4915706990793, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.024096553483851285, 'loss_function': 'MAE', 'max_depth': 8.0, 'random_seed': 42, 'random_strength': 64.51134398054349, 'task_type': 'GPU'}",48,2.5626266678174336
6.984130626416934,"{'bagging_temperature': 47.819153484352995, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.01099113429837799, 'loss_function': 'MAE', 'max_depth': 9.0, 'random_seed': 42, 'random_strength': 1.7058692960950665, 'task_type': 'GPU'}",49,2.565298144022624
6.128227152626852,"{'bagging_temperature': 10.14725614088712, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.07193443836959833, 'loss_function': 'MAE', 'max_depth': 10.0, 'random_seed': 42, 'random_strength': 84.01225177164986, 'task_type': 'GPU'}",50,20.027843117713928
6.3104643471726956,"{'bagging_temperature': 15.825099563770372, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.025507912100712342, 'loss_function': 'MAE', 'max_depth': 7.0, 'random_seed': 42, 'random_strength': 57.19212342366684, 'task_type': 'GPU'}",51,14.925511276721954
6.515850764411997,"{'bagging_temperature': 37.503858228648426, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.11427043430348763, 'loss_function': 'MAE', 'max_depth': 6.0, 'random_seed': 42, 'random_strength': 40.55158315416355, 'task_type': 'GPU'}",52,2.561590584119161
6.645865203370399,"{'bagging_temperature': 93.08714141463138, 'bootstrap_type': 'Bayesian', 'iterations': 1000, 'learning_rate': 0.01796001765083996, 'loss_function': 'MAE', 'max_depth': 9.0, 'random_seed': 42, 'random_strength': 67.35412919692816, 'task_type': 'GPU'}",53,2.564646804332733
