,Predicted,Actual
548889,10.884742012946845,14.0
386207,7.1568727319369145,21.0
488434,5.25459672979855,1.0
311575,9.525560109662138,4.0
236285,5.0751968109900645,4.0
391242,7.027497618962684,10.0
416275,7.0795914425143565,5.0
86055,3.1867775835103203,3.0
171691,4.54608563271222,8.0
137474,9.792062349304615,12.0
519230,2.744332405597106,5.0
271856,4.340207381987057,2.0
86680,7.823633856072888,10.0
356323,9.26108850936123,8.0
167002,4.734947301237526,21.0
89662,6.231228302837053,5.0
445108,10.22943849456135,10.0
149281,7.087910993731498,7.0
293837,17.899235753980065,16.0
270398,5.531299472259434,2.0
138858,7.198116390805808,7.0
509372,5.56727470832584,9.0
354703,7.855916439007501,5.0
412932,4.166455804451971,172.0
177113,13.850716496584369,11.0
298983,8.055427004017474,3.0
101220,4.917570525757128,3.0
554452,6.422078281052109,7.0
136025,4.908271286388754,8.0
343918,7.997166905826589,7.0
8274,3.6762553364376345,9.0
71000,5.632097751881247,7.0
335538,3.7047232520262696,17.0
415285,6.611310316204481,8.0
562719,5.777062846367926,5.0
549628,4.292805789198155,5.0
465934,4.770586985521959,24.0
83734,6.270140439424267,1.0
312901,11.240164183221282,17.0
83155,14.106313175015202,11.0
269688,6.125896806930086,12.0
534605,7.176270988011083,6.0
249826,5.000069256565894,3.0
436524,4.681587475553215,3.0
416709,8.03453843948796,4.0
555867,5.462564510268521,19.0
515746,9.481674447523801,14.0
264022,6.114030379679434,3.0
27524,11.752082096113327,10.0
139763,9.725112766151256,29.0
467518,2.415390260736558,3.0
449524,8.921178947162275,4.0
320035,9.909817556050825,5.0
51962,8.049421797473997,19.0
44927,10.110023445638944,6.0
312586,13.764367434291898,23.0
188761,3.7721116967652506,1.0
147246,6.16205491961091,8.0
543494,6.457813767668085,5.0
236613,5.793021937058484,4.0
125531,5.923045034741108,3.0
306235,7.5584440457420214,5.0
294958,8.456367929430144,13.0
523856,8.437196147406667,6.0
296337,4.857137108113193,2.0
422241,8.748823266310296,6.0
83079,9.841070459500884,10.0
104024,5.302028456067092,3.0
136276,5.857360315105325,2.0
296287,6.002462108115651,12.0
526835,5.7145297658162235,8.0
257791,4.339877880674749,8.0
380329,5.186666674933349,4.0
430227,5.897888132492426,6.0
152910,8.13626878402988,7.0
524060,10.491228819608523,9.0
271532,3.318463027319467,4.0
13087,9.156663228311686,16.0
24876,6.035116688435096,1.0
491351,11.811080757358695,5.0
259340,10.5167340590192,16.0
443703,7.088827046581628,11.0
364883,5.565650357852064,1.0
324135,7.832538013464955,6.0
327734,7.85096243568546,34.0
531003,7.348874352799385,22.0
2096,4.577877763536208,4.0
33600,6.683711849294696,1.0
347147,13.288425357769484,13.0
391162,6.214951494557681,3.0
108500,4.4079654371068955,5.0
519476,6.934254264986976,6.0
386599,4.604512959454269,7.0
262137,5.2709792695877695,4.0
156700,8.317901480619184,56.0
479113,8.350118087149554,25.0
222332,6.63317428382129,8.0
26600,5.741193473407748,2.0
191213,4.334793241757325,1.0
169017,8.6484032954437,9.0
388066,4.1057401504790505,1.0
434006,4.710153735657514,3.0
439607,9.109643014947324,7.0
50222,6.4034073372768034,5.0
414677,10.522556236502169,9.0
101646,5.45533707665254,9.0
506191,6.9503943685144804,4.0
32326,13.674708528155861,5.0
311571,9.989146565951842,10.0
532511,8.386991859879117,4.0
273510,6.744306729808386,1.0
16764,3.513065685335505,2.0
264127,2.145788232161067,2.0
469029,4.304251196071618,5.0
233552,4.945418945844722,3.0
379290,11.24329297906479,20.0
248256,7.573904666372641,8.0
249364,3.465081848427417,1.0
368415,3.8006585253749563,5.0
48662,8.05710175379022,6.0
190243,9.975931922891732,2.0
487560,6.326483136606612,6.0
78184,7.951919937670027,3.0
43140,5.160802815358693,6.0
90695,7.19163270457102,15.0
228637,3.4430508551254206,3.0
175441,7.165489585261184,5.0
334018,8.0777047039619,7.0
470325,2.884726946560704,4.0
508922,6.874737933300366,5.0
549140,12.418886843049222,37.0
454584,5.359833614234958,6.0
139564,6.264307571078007,23.0
10890,12.234575650378702,31.0
513864,4.17871098520186,3.0
315951,7.28610214834714,25.0
37052,4.672076293454211,6.0
346999,6.31302291340171,1.0
543206,3.9072995210894987,1.0
74580,10.879602758825513,4.0
45543,4.887937732469027,11.0
15985,6.318974258578237,8.0
211953,5.501898727991829,4.0
270642,12.494792354249512,4.0
201475,3.61557940278135,3.0
449862,3.605670612570293,9.0
518753,4.916027780395098,2.0
430622,4.2259544696946705,4.0
154162,10.882918368555693,20.0
305232,4.752099144269778,5.0
167753,6.28343756503682,26.0
142292,11.07289311049044,3.0
205607,3.969809821060835,1.0
483669,4.561258359653948,9.0
225210,6.32266755924843,1.0
192435,11.104511919667857,13.0
15303,6.898428164193774,3.0
506772,5.380464376401505,2.0
160231,3.6548024431829162,7.0
256651,6.5733812943558405,12.0
101884,2.8275507986236335,3.0
468656,4.473001101029922,4.0
323286,9.69296408973696,6.0
152664,8.498721750914456,51.0
539032,10.274349736835234,53.0
453794,4.552197618165337,1.0
381620,5.578904366748247,1.0
257988,4.105422971228791,6.0
279939,4.71141123736561,4.0
432710,5.434902956878204,13.0
63211,8.489443542393929,4.0
116728,13.311167279575102,10.0
47002,9.136004212494072,10.0
46151,4.1369235140846286,20.0
261512,8.227111664803942,12.0
274459,3.7360171303364496,6.0
343040,6.083778286932329,2.0
409703,4.995894357533189,9.0
493540,4.347936289889049,13.0
559419,4.033897667380643,2.0
313230,7.473499162148073,1.0
334863,6.1691167815667995,1.0
117524,7.543679296828486,10.0
229370,6.609051504538911,5.0
84370,13.096029726532379,10.0
272591,11.33887330620746,15.0
166465,4.307095098043192,8.0
374024,4.27544734508615,2.0
448697,5.869809236117817,18.0
401907,5.888583834780775,6.0
451468,6.806020951870778,3.0
118006,5.24666593255597,1.0
472685,4.173963626369641,3.0
256830,6.272114336103414,6.0
361241,7.036334662783247,3.0
439703,3.3601132367584796,5.0
534075,7.449373134510097,4.0
65959,3.2862091555275583,2.0
567858,7.4019684747227075,15.0
370575,10.480783764746093,8.0
